state_code,state_name,region,nationality,year,enrolments,state_total,rank_in_state,share_of_state
TAS,Tasmania,South-East Asia,Indonesia,2025,106,9427,15,0.011244298292139599
TAS,Tasmania,South-East Asia,Thailand,2025,98,9427,16,0.010395672005940384
TAS,Tasmania,Sub-Saharan Africa,Nigeria,2025,96,9427,17,0.01018351543439058
TAS,Tasmania,North-East Asia,"Korea, Republic of (South)",2025,92,9427,18,0.009759202291290972
TAS,Tasmania,Americas,Chile,2025,91,9427,19,0.009653124005516071
TAS,Tasmania,North-East Asia,Japan,2025,89,9427,20,0.009440967433966267
VIC,Victoria,Southern and Central Asia,India,2025,78367,322347,1,0.2431137873161531
VIC,Victoria,North-East Asia,China,2025,67069,322347,2,0.20806460119064238
VIC,Victoria,South-East Asia,Vietnam,2025,18325,322347,3,0.056848675495661506
VIC,Victoria,Southern and Central Asia,Sri Lanka,2025,17319,322347,4,0.05372781505644538
VIC,Victoria,Southern and Central Asia,Nepal,2025,14071,322347,5,0.04365171693857861
VIC,Victoria,Americas,Colombia,2025,13438,322347,6,0.041687994614499284
VIC,Victoria,South-East Asia,Philippines,2025,12717,322347,7,0.039451274558162476
VIC,Victoria,South-East Asia,Thailand,2025,9846,322347,8,0.030544723543262386
VIC,Victoria,South-East Asia,Indonesia,2025,9576,322347,9,0.029707116864745135
VIC,Victoria,Southern and Central Asia,Pakistan,2025,9295,322347,10,0.0288353854696957
VIC,Victoria,South-East Asia,Malaysia,2025,8653,322347,11,0.02684374292299913
VIC,Victoria,Southern and Central Asia,Bangladesh,2025,7744,322347,12,0.02402380043865772
VIC,Victoria,North-East Asia,Taiwan,2025,4134,322347,13,0.01282468892218634
VIC,Victoria,South-East Asia,Cambodia,2025,3560,322347,14,0.011043999168597815
VIC,Victoria,North-East Asia,Hong Kong SAR,2025,3540,322347,15,0.01098195422944839
VIC,Victoria,North-East Asia,Japan,2025,3463,322347,16,0.0107430812137231
VIC,Victoria,Sub-Saharan Africa,Kenya,2025,3158,322347,17,0.009796895891694354
VIC,Victoria,North-East Asia,"Korea, Republic of (South)",2025,3012,322347,18,0.009343967835903544
VIC,Victoria,North Africa and the Middle East,Turkiye,2025,2789,322347,19,0.008652166764387445
VIC,Victoria,Americas,Brazil,2025,2607,322347,20,0.00808755781812767
WA,Western Australia,Southern and Central Asia,India,2025,15044,89530,1,0.16803306154361666
WA,Western Australia,Southern and Central Asia,Bhutan,2025,11264,89530,2,0.12581257678990282
WA,Western Australia,North-East Asia,China,2025,9015,89530,3,0.1006925053054842
WA,Western Australia,Southern and Central Asia,Pakistan,2025,5450,89530,4,0.06087345024014297
WA,Western Australia,South-East Asia,Philippines,2025,5199,89530,5,0.05806992069697308
WA,Western Australia,Southern and Central Asia,Nepal,2025,4777,89530,6,0.05335641684351614
WA,Western Australia,Southern and Central Asia,Bangladesh,2025,3731,89530,7,0.0416731821735731
WA,Western Australia,Americas,Colombia,2025,2872,89530,8,0.032078632860493686
